Dataset,Task,Metric,Activation,Avg_Score,Max_Score,Min_Score,Epochs_As_Best,Overall_Winner,Leader_Changes
relu,Regression,R2,S,0.7056560052633285,0.983058512210846,-0.7256385087966919,0,XER,48
relu,Regression,R2,C,0.9681637029647827,0.9971925616264343,-0.8969106674194336,0,XER,48
relu,Regression,R2,ELU,0.969878953576088,0.997178316116333,-0.8538825511932373,0,XER,48
relu,Regression,R2,SELU,0.9788884851932526,0.9971888661384583,-1.1337449550628662,1,XER,48
relu,Regression,R2,T,0.9275122184753418,0.997073769569397,-0.6257498264312744,0,XER,48
relu,Regression,R2,HT,0.9195209603309631,0.9971597194671631,-0.6547055244445801,0,XER,48
relu,Regression,R2,ST,0.8569643276929856,0.9969392418861389,-0.9328587055206299,0,XER,48
relu,Regression,R2,SS,-0.02092124855518341,5.960464477539063e-08,-0.26876235008239746,0,XER,48
relu,Regression,R2,HS,0.8590637962818146,0.8900384902954102,-0.6524519920349121,0,XER,48
relu,Regression,R2,ReLU6,0.9560849062204361,0.9970913529396057,-1.128951072692871,0,XER,48
relu,Regression,R2,Sw,0.9619320611953736,0.9971092939376831,-0.8888454437255859,0,XER,48
relu,Regression,R2,LgS,0.9575448017120362,0.9971394538879395,-0.8171031475067139,0,XER,48
relu,Regression,R2,Si,0.8645806602239609,0.9969619512557983,-0.19819140434265137,1,XER,48
relu,Regression,R2,Mish,0.9799901657104492,0.9971380233764648,-0.4080049991607666,7,XER,48
relu,Regression,R2,U,0.7160759352445603,0.9944698810577393,-2.8121752738952637,0,XER,48
tanh,Regression,R2,E,0.9769191755056381,0.9883846044540405,0.05546379089355469,3,LR,61
tanh,Regression,R2,XER,0.9815087745189667,0.9886208176612854,-0.28860461711883545,148,LR,61
tanh,Regression,R2,R,0.9096020399332047,0.9886663556098938,-0.08390319347381592,78,LR,61
tanh,Regression,R2,LR,0.9522616003751755,0.9885645508766174,-0.18753302097320557,177,LR,61
tanh,Regression,R2,PR,0.9700230449438095,0.9884454607963562,-0.007572174072265625,0,LR,61
tanh,Regression,R2,RR,0.9662811585664749,0.9884610176086426,-0.11767411231994629,0,LR,61
tanh,Regression,R2,G,0.9768115606307983,0.9883392453193665,0.0547480583190918,0,LR,61
tanh,Regression,R2,S,0.9559855673313141,0.9882540702819824,-0.11686241626739502,0,LR,61
tanh,Regression,R2,C,0.9805395171642304,0.9881393313407898,-0.011901378631591797,1,LR,61
tanh,Regression,R2,ELU,0.9805235080718994,0.988209068775177,-0.19409525394439697,6,LR,61
tanh,Regression,R2,SELU,0.9828092740774155,0.9883902072906494,-0.2544999122619629,8,LR,61
tanh,Regression,R2,T,0.9723501561880111,0.9882209300994873,-0.09679412841796875,3,LR,61
tanh,Regression,R2,HT,0.975202850818634,0.9885547757148743,-0.41726863384246826,48,LR,61
tanh,Regression,R2,ST,0.9672284612655639,0.9883294105529785,-0.19214320182800293,0,LR,61
tanh,Regression,R2,SS,0.9465787916183471,0.9876952171325684,-0.07924771308898926,0,LR,61
tanh,Regression,R2,HS,0.908202450633049,0.9337573647499084,0.03617936372756958,0,LR,61
tanh,Regression,R2,ReLU6,0.9736346206665039,0.9885910749435425,0.017255067825317383,28,LR,61
